Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2017,3,Jujuy,34,9,20,23,8,94
2017,3,La Pampa,11,50,5,12,2,80
2017,3,La Rioja,17,35,14,252,25,343
2017,3,Mendoza,154,34,3,29,2,222
2017,3,Misiones,56,44,110,5,9,224
2017,3,Neuquén,48,52,1,12,3,116
2017,3,Río Negro,69,30,1,3,4,107
2017,3,Salta,81,50,127,158,1,417
2017,3,San Juan,54,5,816,1,1,877
2017,3,San Luis,11,8,347,26,2,394
2017,3,Santa Cruz,19,5,2,5,3,34
2017,3,Santa Fe,323,291,6,5,37,662
2017,3,Santiago Del Estero,28,54,19,911,35,1047
2017,3,Tierra Del Fuego,22,7,622,1,2,654
2017,3,Tucumán,154,6,106,40,305,611
2017,2,Buenos Aires,1,2,119,22,24,168
2017,2,Capital Federal,615,932,39,3,11,1600
2017,2,Catamarca,26,255,14,1,34,330
2017,2,Chaco,54,36,458,52,39,639
2017,2,Chubut,44,1,916,13,5,979
2017,2,Córdoba,342,303,4,6,2,657
2017,2,Corrientes,55,33,258,1,31,378
2017,2,Entre Ríos,108,68,254,6,71,507
2017,2,Formosa,22,6,17,1,13,59
2017,2,Jujuy,34,9,22,0,35,100
2017,2,La Pampa,13,48,5,6,511,583
2017,2,La Rioja,16,0,15,2,28,61
2017,2,Mendoza,153,13,3,27,2,198
2017,2,Misiones,57,43,103,5,9,217
2017,2,Neuquén,52,50,1,12,3,118
2017,2,Río Negro,67,29,961,3,1,1061
2017,2,Salta,80,27,115,158,804,1184
2017,2,San Juan,49,451,772,1,915,2188
2017,2,San Luis,11,1,354,26,375,767
2017,2,Santa Cruz,15,3,1,5,2,26
2017,2,Santa Fe,330,228,3,5,1,567
2017,2,Santiago Del Estero,28,4,19,911,29,991
2017,2,Tierra Del Fuego,23,7,665,1,2,698
2017,2,Tucumán,149,5,116,14,45,329
2017,1,Buenos Aires,2,1,119,21,24,167
2017,1,Capital Federal,429,918,38,3,11,1399
2017,1,Catamarca,26,248,14,1,34,323
2017,1,Chaco,54,34,252,52,39,431
2017,1,Chubut,44,999,916,13,5,1977
2017,1,Córdoba,336,293,5,6,1,641
2017,1,Corrientes,55,32,236,1,31,355
2017,1,Entre Ríos,109,65,230,6,71,481
2017,1,Formosa,22,6,16,1,13,58
2017,1,Jujuy,34,9,22,0,34,99
2017,1,La Pampa,13,47,5,6,517,588
